long,lat
6.12319993972778,46.569034576416
6.05501794815063,46.6872940063477
6.11328792572021,46.7182350158691
6.15981197357178,46.7462501525879
6.1505298614502,46.7897987365723
6.09019756317139,46.8216552734375
6.03055286407471,46.8288726806641
6.00545692443848,46.8694381713867
5.96764183044434,46.9316596984863
5.95010948181152,46.9804763793945
5.90627813339233,46.9851760864258
5.86617136001587,46.9954299926758
5.77008628845215,47.0155410766602
5.81884479522705,47.0928916931152
5.81632375717163,47.1611328125
5.76343965530396,47.1901817321777
5.75306940078735,47.2528038024902
